sector,employment,wage,tradables
Agriculture,541268.3583,562.1025598,1
Mining,12117.49167,2642.839679,2
Manufacturing,54381.58333,1598.630687,1
Energy,13946.25,2036.561596,1
Water.supply,11898.75,908.9124134,0
Construction,33470.02833,2494.569037,0
Trade,23287.78917,1281.049533,0
Transport,17044.71667,1969.742478,0
Recreation,5190.091667,1199.494209,1
Digital.econ,11815.50417,2605.991845,1
Finance,22240.33333,3394.106829,0
Government,43837.25,1110.309412,0
Education,233207.4167,1073.569163,0
Health,110856.1,901.5363954,0
Art.entertainment,11686.16667,1092.923548,1
Migration,265600,6268.88,2
